tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37982,8298,7690755,140762,2017-08-01 16:23:56
892177421306343426,32610,6126,7690755,140762,2017-08-01 00:17:27
891815181378084864,24557,4056,7690755,140762,2017-07-31 00:18:03
891689557279858688,41310,8438,7690755,140762,2017-07-30 15:58:51
891327558926688256,39504,9138,7690755,140762,2017-07-29 16:00:24
891087950875897856,19851,3042,7690755,140762,2017-07-29 00:08:17
890971913173991426,11599,2013,7690755,140762,2017-07-28 16:27:12
890729181411237888,64060,18402,7690755,140762,2017-07-28 00:22:40
890609185150312448,27263,4176,7690755,140762,2017-07-27 16:25:51
890240255349198849,31284,7198,7690755,140762,2017-07-26 15:59:51
890006608113172480,30056,7154,7690755,140762,2017-07-26 00:31:25
889880896479866881,27262,4856,7690755,140762,2017-07-25 16:11:53
889665388333682689,47169,9795,7690755,140762,2017-07-25 01:55:32
889638837579907072,26612,4417,7690755,140762,2017-07-25 00:10:02
889531135344209921,14818,2193,7690755,140762,2017-07-24 17:02:04
889278841981685760,24750,5238,7690755,140762,2017-07-24 00:19:32
888917238123831296,28535,4397,7690755,140762,2017-07-23 00:22:39
888804989199671297,25059,4182,7690755,140762,2017-07-22 16:56:37
888554962724278272,19432,3461,7690755,140762,2017-07-22 00:23:06
888078434458587136,21326,3409,7690755,140762,2017-07-20 16:49:33
887705289381826560,29579,5265,7690755,140762,2017-07-19 16:06:48
887517139158093824,45358,11405,7690756,140762,2017-07-19 03:39:09
887473957103951883,67652,17742,7690756,140762,2017-07-19 00:47:34
887343217045368832,33013,10161,7690756,140762,2017-07-18 16:08:03
887101392804085760,29977,5816,7690756,140762,2017-07-18 00:07:08
886983233522544640,34441,7585,7690756,140762,2017-07-17 16:17:36
886736880519319552,11823,3199,7690756,140762,2017-07-16 23:58:41
886680336477933568,21993,4357,7690756,140762,2017-07-16 20:14:00
886366144734445568,20780,3127,7690756,140762,2017-07-15 23:25:31
886267009285017600,116,4,7690756,140762,2017-07-15 16:51:35
886258384151887873,27446,6137,7690756,140762,2017-07-15 16:17:19
886054160059072513,0,105,7690756,140762,2017-07-15 02:45:48
885984800019947520,31991,6607,7690756,140762,2017-07-14 22:10:11
885528943205470208,35269,6274,7690756,140762,2017-07-13 15:58:47
885518971528720385,20028,3669,7690756,140762,2017-07-13 15:19:09
885311592912609280,0,18117,7690756,140762,2017-07-13 01:35:06
885167619883638784,21489,4279,7690756,140762,2017-07-12 16:03:00
884925521741709313,75889,17828,7690756,140762,2017-07-12 00:01:00
884876753390489601,27382,5477,7690756,140762,2017-07-11 20:47:12
884562892145688576,23815,4582,7690756,140762,2017-07-11 00:00:02
884441805382717440,26471,5526,7690756,140762,2017-07-10 15:58:53
884247878851493888,71571,20028,7690756,140762,2017-07-10 03:08:17
884162670584377345,19948,2915,7690756,140762,2017-07-09 21:29:42
883838122936631299,21471,3370,7690756,140762,2017-07-09 00:00:04
883482846933004288,45011,9699,7690756,140762,2017-07-08 00:28:19
883360690899218434,22236,3616,7690756,140762,2017-07-07 16:22:55
883117836046086144,36423,6512,7690756,140762,2017-07-07 00:17:54
882992080364220416,23477,3833,7690756,140762,2017-07-06 15:58:11
